unit,deaths,b_mean,b_sd,b_lo95,b_hi95,classified_95
AC,847,-0.019794617596103518,0.009218526866294357,-0.037007114783950815,0.00013894633694618277,False
AL,3052,-0.022178184940768786,0.008384789174644991,-0.038446814206956635,-0.005121195826904252,True
AM,4172,-0.02526033680540436,0.008302616641033834,-0.04321677102508452,-0.009433417451787182,True
AP,838,-0.02992083109260461,0.009756199829172293,-0.05242513892555365,-0.013563448361376684,True
BA,11679,-0.023448190950019702,0.007937768166708426,-0.03998476006007697,-0.0072459318179894485,True
CE,5658,-0.028318019669550807,0.008598752214410237,-0.04717110734214022,-0.013093915785581924,True
DF,804,-0.03794898699569482,0.012884461772351011,-0.06655173000086137,-0.018953465746158128,True
ES,1852,-0.014730934694591115,0.009754183721435031,-0.030720464672204982,0.007161726688418725,False
GO,4052,-0.025495862951036653,0.00830106738617251,-0.04283500499510796,-0.009408950811365759,True
MA,6137,-0.026560062076988578,0.008269623284969536,-0.04449712043299293,-0.011185295347037128,True
MG,9894,-0.021470507881241302,0.008150000363365899,-0.037473742749761695,-0.004121536043094973,True
MS,1589,-0.022288948427967643,0.008719554077757938,-0.03979823622444001,-0.004566267836889875,True
MT,2457,-0.01763713559543415,0.008914476551892635,-0.033893427205810595,0.0017794984119479512,False
PA,8502,-0.021007258567543548,0.008229335555413664,-0.03645499578945382,-0.003214461371705511,True
PB,2874,-0.02056637711124457,0.008513910184350687,-0.03702850474537027,-0.0024010502539371795,True
PE,4590,-0.021873242176413336,0.008212938001278187,-0.03810049447713599,-0.00473615573836539,True
PI,1937,-0.02875259225343456,0.009209356692367457,-0.049249631296073605,-0.012533478850789833,True
PR,3549,-0.028357753972132832,0.00878830819276286,-0.047531699828339144,-0.012562139447518363,True
RJ,8859,-0.015349355519680079,0.009064741248311895,-0.03041354068352533,0.004719227030558035,False
RN,1799,-0.02554983261259982,0.008797599240251438,-0.04456891504761829,-0.008597472905833885,True
RO,1173,-0.03313457460586414,0.010599224802856072,-0.05655799367760318,-0.016327887480780436,True
RR,757,-0.014239584561807747,0.010552756770803097,-0.030937760824753552,0.009981050332384493,False
RS,4016,-0.023171034853243882,0.008129659106674767,-0.039590402720794594,-0.006717589729899415,True
SC,3283,-0.022594472905153082,0.008575218968537265,-0.03980569425961422,-0.005165121425156022,True
SE,1692,-0.02571110872678669,0.008521305338966832,-0.04383683636923899,-0.0094848305585093,True
SP,20699,-0.019064322451440623,0.008242689228351934,-0.034222957823149346,-0.0012839355509078707,True
TO,817,-0.01117337051586165,0.011487510520848048,-0.028688230442547306,0.014905552319162034,False
