UF,b_mean,b_sd,b_lo95,b_hi95,classified_95
AC,-0.019829359205674385,0.00944744837484106,-0.037418368424746336,0.0011284233090334166,False
AL,-0.022131344005597093,0.00808818046299926,-0.03816705481985166,-0.0051195095383366,True
AM,-0.025035525174215395,0.008196967277881247,-0.04257392688325352,-0.00952273528418402,True
AP,-0.029881509111443678,0.010053958415431016,-0.05264709031997117,-0.012646134554894932,True
BA,-0.02335831551607308,0.007780112575310566,-0.039075420505335676,-0.007643395343932784,True
CE,-0.028377988752352874,0.00871633423332002,-0.0473765305327249,-0.01293122334360973,True
DF,-0.03790566465977656,0.01293840547306541,-0.06675356468231318,-0.018818377696987354,True
ES,-0.014642461774521182,0.009797924440471808,-0.030216453657099386,0.00737624813456757,False
GO,-0.025449009908338864,0.008391192469434648,-0.04306535157053486,-0.009350660288935584,True
MA,-0.02673764993184617,0.008344679917796869,-0.044909187873770975,-0.011443272332833277,True
MG,-0.021450361664512432,0.00814340536378509,-0.037453771789953155,-0.003764404503268708,True
MS,-0.02233192845403036,0.00861496913288139,-0.039445575130837365,-0.004678363829955461,True
MT,-0.017724450490470344,0.008795124962401327,-0.033371525162662466,0.0018512350906600336,False
PA,-0.021112790308757408,0.008242040914071972,-0.03695006899241112,-0.003628463119188855,True
PB,-0.0207036595749134,0.008431855111876895,-0.03693555306461174,-0.002738298392210518,True
PE,-0.021799814740897233,0.008116265761429826,-0.03762530376920532,-0.004868713649465141,True
PI,-0.0288445347142747,0.009118335299883156,-0.04901870266178167,-0.013115549001982354,True
PR,-0.028285926741936692,0.008854080457837057,-0.04780941302025825,-0.012225509166461528,True
RJ,-0.015505237006530819,0.009193533370878837,-0.030553422972284867,0.004847443157595074,False
RN,-0.025562421845821574,0.008607352053686509,-0.04397008855086138,-0.009064025518150625,True
RO,-0.03304349477304182,0.01056292363245066,-0.056750145606449566,-0.016452020309063634,True
RR,-0.014264791850762258,0.01055477383135323,-0.030702822566467954,0.009196913535782341,False
RS,-0.023187452859946632,0.00807023779988062,-0.03975959095972396,-0.007134720623278547,True
SC,-0.022727520701418105,0.00852464397153308,-0.03965908874762652,-0.005174057064383895,True
SE,-0.02574586537387112,0.008845238134277516,-0.045225981444543664,-0.008726761313993536,True
SP,-0.01903349442538756,0.008216091822408735,-0.034234385535498534,-0.0011295423939498756,True
TO,-0.011460674359312868,0.011652225202873847,-0.029305327797582097,0.01439939339315273,False
