true_slope_x_national,exposure_quintile,median_deaths,power,type_S,type_M
0.0,1,39,0.052,0.0,
0.0,2,78,0.049,0.0,
0.0,3,117,0.052,0.0,
0.0,4,194,0.054,0.0,
0.0,5,408,0.05,0.0,
0.5,1,39,0.046,0.2421,10.97
0.5,2,78,0.057,0.2414,7.78
0.5,3,117,0.061,0.2126,6.0
0.5,4,194,0.068,0.194,4.99
0.5,5,408,0.079,0.0679,3.77
1.0,1,39,0.064,0.1429,5.29
1.0,2,78,0.078,0.0692,3.68
1.0,3,117,0.097,0.0498,3.15
1.0,4,194,0.118,0.0087,2.71
1.0,5,408,0.165,0.003,2.06
2.0,1,39,0.105,0.0365,2.72
2.0,2,78,0.178,0.0055,2.15
2.0,3,117,0.229,0.0021,1.77
2.0,4,194,0.339,0.0,1.54
2.0,5,408,0.512,0.0,1.25
