arm,exposure_quintile,n,power,type_S,type_M,true_slope_x_national
"A: fixed 0.0x, unpooled",1,2080,0.048,0.0,,0.0
"A: fixed 0.0x, unpooled",2,2040,0.05,0.0,,0.0
"A: fixed 0.0x, unpooled",3,2080,0.045,0.0,,0.0
"A: fixed 0.0x, unpooled",4,1960,0.048,0.0,,0.0
"A: fixed 0.0x, unpooled",5,2040,0.04,0.0,,0.0
"A: fixed 0.5x, unpooled",1,2080,0.058,0.3,10.01,0.5
"A: fixed 0.5x, unpooled",2,2040,0.053,0.2569,7.43,0.5
"A: fixed 0.5x, unpooled",3,2080,0.059,0.2295,6.32,0.5
"A: fixed 0.5x, unpooled",4,1960,0.073,0.1538,5.0,0.5
"A: fixed 0.5x, unpooled",5,2040,0.1,0.0739,3.23,0.5
"A: fixed 1.0x, unpooled",1,2080,0.061,0.1181,5.48,1.0
"A: fixed 1.0x, unpooled",2,2040,0.074,0.0933,3.79,1.0
"A: fixed 1.0x, unpooled",3,2080,0.095,0.0455,3.13,1.0
"A: fixed 1.0x, unpooled",4,1960,0.114,0.0223,2.66,1.0
"A: fixed 1.0x, unpooled",5,2040,0.235,0.0083,1.8,1.0
"A: fixed 2.0x, unpooled",1,2080,0.104,0.0185,2.75,2.0
"A: fixed 2.0x, unpooled",2,2040,0.182,0.0,2.13,2.0
"A: fixed 2.0x, unpooled",3,2080,0.227,0.0085,1.77,2.0
"A: fixed 2.0x, unpooled",4,1960,0.35,0.0015,1.5,2.0
"A: fixed 2.0x, unpooled",5,2040,0.624,0.0,1.17,2.0
"B: drawn slopes, hierarchical",1,2080,0.026,0.0182,1.05,
"B: drawn slopes, hierarchical",2,2040,0.101,0.0049,0.99,
"B: drawn slopes, hierarchical",3,2080,0.174,0.0166,1.0,
"B: drawn slopes, hierarchical",4,1960,0.249,0.0123,0.99,
"B: drawn slopes, hierarchical",5,2040,0.427,0.0034,0.98,
