UF,b_global,sd_global,classified_global,departs_global,b_exposure,sd_exposure,classified_exposure,departs_exposure,slope_own,se_own,slope_rest,contrast,t,p,departs_unpooled,contrast_se,contrast_lo,contrast_hi
AC,-0.0198293592056743,0.009447448374841,False,False,-0.0171778600097242,0.0108478624886033,False,False,-0.0096014441066104,0.0174090765503313,-0.0202394892403631,0.0106380451337526,0.6098913320018182,0.5570167214584496,False,0.017442525537845956,-0.028819688949951176,0.05009577921745637
AL,-0.022131344005597,0.0080881804629992,True,False,-0.0211694811785826,0.0075206070477448,True,False,-0.0215035987013854,0.0083012881903008,-0.0202006839893824,-0.001302914712003,-0.1558358348322116,0.8796017696934035,False,0.008360815812395447,-0.02021639408931717,0.01761056466531117
AM,-0.0250355251742153,0.0081969672778812,True,False,-0.0273176398726668,0.0066147214595304,True,False,-0.028031284817567,0.0053059109029469,-0.0199265458464236,-0.0081047389711433,-1.4918670403732357,0.1699301307543665,False,0.005432614805348642,-0.020394167466089956,0.004184689523803357
AP,-0.0298815091114436,0.010053958415431,True,False,-0.0349515557958468,0.0112089606781696,True,False,-0.047722200736863,0.0137224009693305,-0.0199662909350875,-0.0277559098017755,-2.0168373482565216,0.0745014182400884,False,0.013762096296842885,-0.058887934515566495,0.003376114912015501
BA,-0.023358315516073,0.0077801125753105,True,False,-0.0237210851873233,0.0043360668417825,True,False,-0.02370701433018,0.0031409028795269,-0.0196938614404758,-0.0040131528897042,-1.2027439371744215,0.2597609190564043,False,0.0033366644101588297,-0.011561212185185344,0.0035349064057769433
CE,-0.0283779887523528,0.00871633423332,True,False,-0.0355927287756711,0.0056434803949517,True,False,-0.0378755263829287,0.0054327151776258,-0.0192880628958594,-0.0185874634870693,-3.3477858410680237,0.0085536005470432,True,0.0055521662285122324,-0.031147336090254874,-0.006027590883883726
DF,-0.0379056646597765,0.0129384054730654,True,False,-0.0548766370068237,0.0121409764083899,True,True,-0.0856396263338064,0.025818464640731,-0.0198130803386636,-0.0658265459951427,-2.547505956332706,0.0313226539567002,True,0.025839604351663274,-0.12427979206457372,-0.007373299925711688
ES,-0.0146424617745211,0.0097979244404718,False,False,-0.0046957818596152,0.008451367475426,False,True,0.003519624189389,0.0077301992567575,-0.0205119899624055,0.0240316141517945,3.07872199846112,0.0131671202384493,True,0.00780571099430431,0.006373869114860015,0.041689359188728986
GO,-0.0254490099083388,0.0083911924694346,True,False,-0.0280847833815807,0.0063138150930261,True,False,-0.0284380461924623,0.0077399841450723,-0.0198672875360028,-0.0085707586564595,-1.0932461035300922,0.3026825010712142,False,0.007839734007543696,-0.026305469096495344,0.009163951783576341
MA,-0.0267376499318461,0.0083446799177968,True,False,-0.0315429229417985,0.0057399015712256,True,False,-0.0332321327225613,0.0043102313048579,-0.0194419499961909,-0.0137901827263703,-3.103193202376721,0.0126570747000387,True,0.0044438685660333575,-0.023842911833804832,-0.003737453618935767
MG,-0.0214503616645124,0.008143405363785,True,False,-0.0188604631738889,0.0043045416868631,True,False,-0.0184156068801024,0.0028771069781802,-0.0202999930235632,0.0018843861434607,0.6094946855007294,0.5572681526503329,False,0.0030917187438846746,-0.005109567558548294,0.008878339845469693
MS,-0.0223319284540303,0.0086149691328813,True,False,-0.0214512450104906,0.0084072313517601,True,False,-0.0206603165578228,0.0046899572661737,-0.0201484519284722,-0.0005118646293506,-0.1064847010407255,0.9175335724183368,False,0.004806931177417076,-0.011385898423691327,0.010362169164990127
MT,-0.0177244504904703,0.0087951249624013,False,False,-0.0112074498041613,0.007672086197761,False,False,-0.0070008050831468,0.0086565428143698,-0.0204603080394571,0.0134595029563102,1.5440032972483195,0.1569842703447523,False,0.008717276044874617,-0.006260345489179364,0.03317935140179976
PA,-0.0211127903087574,0.0082420409140719,True,False,-0.0181396492540948,0.0050183369372273,True,False,-0.0169935917988439,0.0051965934122727,-0.0205607906608061,0.0035671988619622,0.6688546742558356,0.5203735763124921,False,0.005333294360140412,-0.0084975511764388,0.0156319489003632
PB,-0.0207036595749134,0.0084318551118768,True,False,-0.0176289846589319,0.0073752526491176,True,False,-0.0151673521444527,0.0087116633829978,-0.0203180645808858,0.0051507124364331,0.5868869199110864,0.5717055649322593,False,0.008776328559534832,-0.014702722078079614,0.025004146950945813
PE,-0.0217998147408972,0.0081162657614298,True,False,-0.020785908993408,0.0057758608963679,True,False,-0.0211844894134861,0.0101695133382436,-0.0201510357195646,-0.0010334536939215,-0.101028019311652,0.9217430961803186,False,0.010229376968516963,-0.024173912074786894,0.022107004686943894
PI,-0.0288445347142747,0.0091183352998831,True,False,-0.0351163636640052,0.0083863819044152,True,False,-0.0398297835411826,0.0069492684729113,-0.0198395137510551,-0.0199902697901274,-2.8373531666648164,0.0194871448256181,True,0.007045393581943513,-0.03592805734664721,-0.004052482233607584
PR,-0.0282859267419366,0.008854080457837,True,False,-0.0355862307541876,0.0062024348691379,True,False,-0.0383982906515148,0.0071176028697097,-0.0195417072080265,-0.0188565834434882,-2.61137356097508,0.0282071471831713,True,0.007220944458228796,-0.035191494672242085,-0.0025216722147343197
RJ,-0.0155052370065308,0.0091935333708788,False,False,-0.003906959878832,0.0047089102613008,False,True,-0.0013771274056511,0.0037050139286755,-0.0216691299366699,0.0202920025310187,5.233925228642305,0.000539102516907,True,0.003877014218692326,0.011521587045716668,0.029062418016320736
RN,-0.0255624218458215,0.0086073520536865,True,False,-0.0289708481792413,0.0082213988722942,True,False,-0.0330041931708605,0.0105622027806756,-0.0199697137146208,-0.0130344794562397,-1.227931690519314,0.2506173426574114,False,0.010614987427132195,-0.037047249298132995,0.010978290385653598
RO,-0.0330434947730418,0.0105629236324506,True,False,-0.0432146154567535,0.0103041612327915,True,True,-0.060180827927058,0.0138777648662033,-0.0197712811360333,-0.0404095467910246,-2.903010909403976,0.017509327930439,True,0.013919874245088929,-0.07189849002058081,-0.008920603561468385
RR,-0.0142647918507622,0.0105547738313532,False,False,-0.0081663983790413,0.0117057450928538,False,False,0.0109401286757996,0.0174426127806259,-0.0204342449192304,0.03137437359503,1.7954272772977953,0.1061559889711558,False,0.017474600053002397,-0.008155918082879986,0.07090466527293998
RS,-0.0231874528599466,0.0080702377998806,True,False,-0.0233762365841135,0.0060072404788414,True,False,-0.0236141292996871,0.006197467637865,-0.020107059107041,-0.003507070192646,-0.5559884816291327,0.5917704233420207,False,0.00630781087832924,-0.017776329752987496,0.010762189367695494
SC,-0.0227275207014181,0.008524643971533,True,False,-0.0222455416213799,0.00648761364141,True,False,-0.0223863227893239,0.0079839756635972,-0.0199383656451967,-0.0024479571441272,-0.3034612178721003,0.7684363919962731,False,0.008066787450773823,-0.020696298157116762,0.01580038386886236
SE,-0.0257458653738711,0.0088452381342775,True,False,-0.0281133398665114,0.0088163408697861,True,False,-0.0296453983624541,0.0102714140787256,-0.0200256098733771,-0.0096197884890769,-0.9315652553638032,0.3758745639940497,False,0.010326478401472898,-0.032979905572026964,0.013740328593873164
SP,-0.0190334944253875,0.0082160918224087,True,False,-0.0126263712742414,0.0031918283427134,True,True,-0.0119598808198521,0.0041984703255816,-0.0222439770915707,0.0102840962717186,2.342407491755705,0.0438470363472351,True,0.004390395910154112,0.0003523307157981357,0.020215861827639063
TO,-0.0114606743593128,0.0116522252028738,False,False,-0.0008607967036434,0.0113758044437592,False,True,0.0195159755946607,0.0135025479280279,-0.020429764995886,0.0399457405905467,2.948885263986709,0.0162503417394366,True,0.013546047748410037,0.0093024516481173,0.0705890295329761
