Model,index,mean,eti95_lb,eti95_ub,ess_bulk,r_hat,divergences
rate,mu_b,-0.02227,-0.027,-0.017,3167,1.00,0
rate,sigma_b_state,0.0078,0.0012,0.015,889,1.00,0
rate,sigma_b_region,0.02002,0.016,0.024,2501,1.00,0
rate,between_state_share,0.146,0.0031,0.38,878,1.00,0
rate,alpha,56.39,49,65,7137,1.00,0
share,mu_b,-0.0282,-0.035,-0.021,3609,1.00,0
share,sigma_b_state,0.0111,0.0011,0.023,806,1.00,0
share,sigma_b_region,0.0361,0.031,0.042,2683,1.00,0
share,between_state_share,0.101,0.00083,0.31,807,1.00,0
share,kappa,148.7,120,180,7174,1.00,0
