UF,b_mean,b_lo95,b_hi95,changed_vs_zero,delta_mean,delta_lo95,delta_hi95,lagging,leading,label
AC,-0.019829359205674347,-0.037418368424746336,0.0011284233090334166,False,0.0033842682443182594,-0.014117285506519722,0.024021591035140538,False,False,No determination
AL,-0.0221313440055971,-0.03816705481985166,-0.0051195095383366,True,0.0010822834443955064,-0.015033284819579325,0.018167697678999912,False,False,"Changed, in line with the country"
AM,-0.025035525174215312,-0.04257392688325352,-0.00952273528418402,True,-0.001821897724222705,-0.019304539081316182,0.014044531825583259,False,False,"Changed, in line with the country"
AP,-0.029881509111443785,-0.05264709031997117,-0.012646134554894932,True,-0.00666788166145118,-0.029639174135871586,0.009931004564532301,False,False,"Changed, in line with the country"
BA,-0.023358315516073043,-0.039075420505335676,-0.007643395343932784,True,-0.00014468806608043777,-0.015784644005617857,0.015961627000229246,False,False,"Changed, in line with the country"
CE,-0.0283779887523529,-0.0473765305327249,-0.01293122334360973,True,-0.005164361302360293,-0.024139848865131274,0.009995694189393674,False,False,"Changed, in line with the country"
DF,-0.03790566465977656,-0.06675356468231318,-0.018818377696987354,True,-0.014692037209783952,-0.0433324225441682,0.0029064082907164263,False,False,"Changed, in line with the country"
ES,-0.014642461774521118,-0.030216453657099386,0.00737624813456757,False,0.00857116567547149,-0.006676798041540934,0.0311700109834375,False,False,No determination
GO,-0.025449009908338885,-0.04306535157053486,-0.009350660288935584,True,-0.002235382458346276,-0.019956054963878946,0.01345562180985782,False,False,"Changed, in line with the country"
MA,-0.02673764993184621,-0.044909187873770975,-0.011443272332833277,True,-0.003524022481853604,-0.021618731656064386,0.011588655420354695,False,False,"Changed, in line with the country"
MG,-0.02145036166451236,-0.037453771789953155,-0.003764404503268708,True,0.0017632657854802461,-0.014475778651380883,0.018907389035976458,False,False,"Changed, in line with the country"
MS,-0.0223319284540304,-0.039445575130837365,-0.004678363829955461,True,0.0008816989959622045,-0.016331891330541998,0.0184162635913275,False,False,"Changed, in line with the country"
MT,-0.017724450490470365,-0.033371525162662466,0.0018512350906600336,False,0.005489176959522241,-0.009725481839955797,0.024850273394601958,False,False,No determination
PA,-0.02111279030875745,-0.03695006899241112,-0.003628463119188855,True,0.0021008371412351585,-0.013339077208204304,0.019648629455555833,False,False,"Changed, in line with the country"
PB,-0.020703659574913467,-0.03693555306461174,-0.002738298392210518,True,0.002509967875079138,-0.013725673874445319,0.02099166597251152,False,False,"Changed, in line with the country"
PE,-0.021799814740897268,-0.03762530376920532,-0.004868713649465141,True,0.001413812709095341,-0.01449461644148691,0.017943585320667702,False,False,"Changed, in line with the country"
PI,-0.02884453471427466,-0.04901870266178167,-0.013115549001982354,True,-0.005630907264282053,-0.02587919064376532,0.009765453063262432,False,False,"Changed, in line with the country"
PR,-0.02828592674193669,-0.04780941302025825,-0.012225509166461528,True,-0.00507229929194408,-0.02456437794559175,0.010501173737344393,False,False,"Changed, in line with the country"
RJ,-0.015505237006530802,-0.030553422972284867,0.004847443157595074,False,0.007708390443461804,-0.007458635482475078,0.028209125309448493,False,False,No determination
RN,-0.02556242184582161,-0.04397008855086138,-0.009064025518150625,True,-0.0023487943958290032,-0.020637708332187928,0.013795769651976826,False,False,"Changed, in line with the country"
RO,-0.03304349477304187,-0.056750145606449566,-0.016452020309063634,True,-0.009829867323049267,-0.03353863363565242,0.005659570379261518,False,False,"Changed, in line with the country"
RR,-0.014264791850762236,-0.030702822566467954,0.009196913535782341,False,0.00894883559923037,-0.006728273391053832,0.03288309461914086,False,False,No determination
RS,-0.02318745285994665,-0.03975959095972396,-0.007134720623278547,True,2.617459004595765e-05,-0.01612796232741456,0.016471648931467138,False,False,"Changed, in line with the country"
SC,-0.02272752070141811,-0.03965908874762652,-0.005174057064383895,True,0.0004861067485744972,-0.016931198571937596,0.018260480568120636,False,False,"Changed, in line with the country"
SE,-0.025745865373871194,-0.045225981444543664,-0.008726761313993536,True,-0.002532237923878589,-0.021314203833190687,0.014096244248850295,False,False,"Changed, in line with the country"
SP,-0.019033494425387574,-0.034234385535498534,-0.0011295423939498756,True,0.004180133024605032,-0.010739083305756824,0.02248370723185976,False,False,"Changed, in line with the country"
TO,-0.011460674359312889,-0.029305327797582097,0.01439939339315273,False,0.011752953090679715,-0.004894566567681426,0.037872099913224766,False,False,No determination
