CAUSABAS,group,deaths_2014_2024
P03,delivery,2
P030,delivery,141
P031,delivery,365
P032,delivery,25
P033,delivery,17
P034,delivery,34
P035,delivery,1577
P036,delivery,166
P038,delivery,1956
P039,delivery,682
P100,delivery,5
P101,delivery,13
P102,delivery,6
P103,delivery,3
P108,delivery,7
P109,delivery,12
P110,delivery,9
P111,delivery,12
P112,delivery,24
P113,delivery,1
P114,delivery,1
P115,delivery,5
P119,delivery,11
P120,delivery,4
P128,delivery,1
P129,delivery,3
P130,delivery,11
P131,delivery,2
P132,delivery,1
P134,delivery,5
P138,delivery,7
P139,delivery,5
P140,delivery,1
P142,delivery,1
P143,delivery,3
P148,delivery,1
P149,delivery,4
P150,delivery,6
P151,delivery,1
P152,delivery,1
P154,delivery,1
P155,delivery,1
P156,delivery,1
P158,delivery,42
P159,delivery,313
P20,delivery,3
P200,delivery,744
P201,delivery,701
P208,delivery,1
P209,delivery,3687
P21,delivery,7
P210,delivery,2997
P211,delivery,132
P219,delivery,6210
A021,illdef,2
A022,illdef,2
A044,illdef,1
A047,illdef,5
A048,illdef,2
A049,illdef,13
A052,illdef,1
A059,illdef,2
A060,illdef,1
A072,illdef,1
A073,illdef,1
A079,illdef,1
A083,illdef,3
A084,illdef,1
A085,illdef,1
A09,illdef,194
A099,illdef,2
A210,illdef,1
A228,illdef,1
A310,illdef,1
A319,illdef,1
A33,illdef,5
A368,illdef,1
A369,illdef,4
A370,illdef,6
A379,illdef,14
A390,illdef,1
A392,illdef,2
A394,illdef,5
A399,illdef,6
A419,illdef,1
A421,illdef,1
A449,illdef,2
A483,illdef,30
A491,illdef,1
A498,illdef,1
A499,illdef,11
A530,illdef,1
A541,illdef,1
A599,illdef,2
A799,illdef,1
A86,illdef,5
A878,illdef,1
A879,illdef,2
A90,illdef,7
A91,illdef,4
A920,illdef,4
A928,illdef,4
A929,illdef,1
A968,illdef,1
A99,illdef,1
B200,illdef,1
B207,illdef,1
B208,illdef,1
B209,illdef,1
B24,illdef,7
B332,illdef,2
B333,illdef,2
B340,illdef,1
B342,illdef,98
B348,illdef,1
B349,illdef,1
B49,illdef,7
B528,illdef,1
B550,illdef,2
B59,illdef,1
B749,illdef,1
B829,illdef,1
B832,illdef,1
B89,illdef,1
B99,illdef,68
C050,illdef,3
C069,illdef,1
C109,illdef,2
C169,illdef,2
C229,illdef,6
C249,illdef,1
C259,illdef,2
C260,illdef,1
