cod7,CODMUNRES,rgi_id,rgi_nome,UF
1100015,110001,110005,Cacoal,RO
1100023,110002,110002,Ariquemes,RO
1100031,110003,110006,Vilhena,RO
1100049,110004,110005,Cacoal,RO
1100056,110005,110006,Vilhena,RO
1100064,110006,110006,Vilhena,RO
1100072,110007,110006,Vilhena,RO
1100080,110008,110004,Ji-Paraná,RO
1100098,110009,110005,Cacoal,RO
1100106,110010,110001,Porto Velho,RO
1100114,110011,110003,Jaru,RO
1100122,110012,110004,Ji-Paraná,RO
1100130,110013,110003,Jaru,RO
1100148,110014,110005,Cacoal,RO
1100155,110015,110004,Ji-Paraná,RO
1100189,110018,110005,Cacoal,RO
1100205,110020,110001,Porto Velho,RO
1100254,110025,110004,Ji-Paraná,RO
1100262,110026,110002,Ariquemes,RO
1100288,110028,110005,Cacoal,RO
1100296,110029,110005,Cacoal,RO
1100304,110030,110006,Vilhena,RO
1100320,110032,110004,Ji-Paraná,RO
1100338,110033,110001,Porto Velho,RO
1100346,110034,110004,Ji-Paraná,RO
1100379,110037,110005,Cacoal,RO
1100403,110040,110002,Ariquemes,RO
1100452,110045,110002,Ariquemes,RO
1100502,110050,110005,Cacoal,RO
1100601,110060,110002,Ariquemes,RO
1100700,110070,110002,Ariquemes,RO
1100809,110080,110001,Porto Velho,RO
1100908,110090,110005,Cacoal,RO
1100924,110092,110006,Vilhena,RO
1100940,110094,110002,Ariquemes,RO
1101005,110100,110003,Jaru,RO
1101104,110110,110001,Porto Velho,RO
1101203,110120,110005,Cacoal,RO
1101302,110130,110004,Ji-Paraná,RO
1101401,110140,110002,Ariquemes,RO
1101435,110143,110004,Ji-Paraná,RO
1101450,110145,110005,Cacoal,RO
1101468,110146,110006,Vilhena,RO
1101476,110147,110005,Cacoal,RO
1101484,110148,110005,Cacoal,RO
1101492,110149,110004,Ji-Paraná,RO
1101500,110150,110004,Ji-Paraná,RO
1101559,110155,110004,Ji-Paraná,RO
1101609,110160,110003,Jaru,RO
1101708,110170,110004,Ji-Paraná,RO
1101757,110175,110003,Jaru,RO
1101807,110180,110004,Ji-Paraná,RO
1200013,120001,120001,Rio Branco,AC
1200054,120005,120002,Brasiléia,AC
1200104,120010,120002,Brasiléia,AC
1200138,120013,120001,Rio Branco,AC
1200179,120017,120001,Rio Branco,AC
1200203,120020,120004,Cruzeiro do Sul,AC
1200252,120025,120002,Brasiléia,AC
1200302,120030,120005,Tarauacá,AC
1200328,120032,120005,Tarauacá,AC
1200336,120033,120004,Cruzeiro do Sul,AC
1200344,120034,120003,Sena Madureira,AC
1200351,120035,120004,Cruzeiro do Sul,AC
1200385,120038,120001,Rio Branco,AC
1200393,120039,120004,Cruzeiro do Sul,AC
1200401,120040,120001,Rio Branco,AC
1200427,120042,120004,Cruzeiro do Sul,AC
1200435,120043,120003,Sena Madureira,AC
1200450,120045,120001,Rio Branco,AC
1200500,120050,120003,Sena Madureira,AC
1200609,120060,120005,Tarauacá,AC
1200708,120070,120002,Brasiléia,AC
1200807,120080,120001,Rio Branco,AC
1300029,130002,130005,Tefé,AM
1300060,130006,130006,Tabatinga,AM
1300086,130008,130004,Manacapuru,AM
1300102,130010,130003,Coari,AM
1300144,130014,130009,Manicoré,AM
1300201,130020,130006,Tabatinga,AM
1300300,130030,130001,Manaus,AM
1300409,130040,130002,São Gabriel da Cachoeira,AM
1300508,130050,130010,Parintins,AM
